id,cd_estab,nm_ab_cliente,nr_nota_fis,nr_pedido,ds_ord_compra,ds_placa,ds_transp,nr_lacre,dt_hr_chegada,dt_hr_ini_carga,dt_hr_fim_carga,ds_obs_carga,id_no_show,vl_fixo,vl_base_multa,vl_multa,dt_hr_liberacao,usr_atlz_id,ds_get_status_lib,ds_status_cheg,dt_atlz
389,JAG,FFJDI,20676,299805,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
393,JAG,FFJDI,20677,299921,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
397,JAG,FFJDI,20679,299785,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
403,JAG,WALBA,20669,000002290189,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
409,JAG,WALPE,20668,000002314142,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
411,JAG,CDJAC,20684,902767,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
414,JAG,CR054,20685,907150,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
416,JAG,SBWAY,20689,902761,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
421,JAG,FFJDI,20690,299932,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
423,JAG,FFJDI,20686,299933,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
425,JAG,FFJDI,20687,299934,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
430,JAG,FFJDI,20688,299929,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
437,JAG,WALRS,20694,000408899853,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
444,JAG,WALPR,20695,000408899855,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
446,JAG,CDJAC,20697,902768,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
451,JAG,CR056,20698,907266,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
454,JAG,JCBOB,20699,907267,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
457,JAG,JCBOB,20700,907268,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
465,JAG,WMART,20701,007350046720,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
470,JAG,FFJDI,20702,299935,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
476,JAG,FFJDI,20703,299936,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
479,JAG,FFJDI,20704,299937,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
481,JAG,FFJDI,20705,299938,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
482,JAG,CDGPA,20683,22279590903,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
483,JAG,CCONF,20718,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
491,JAG,CCONF,20719,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
493,JAG,CDJAC,20720,902769,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
497,JAG,CR053,20721,911488,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
501,JAG,JDITA,20722,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
502,JAG,JDITA,20723,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
507,JAG,JDSTP,20724,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
508,JAG,JDSTP,20725,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
510,JAG,SBWAY,20726,902762,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
512,JAG,SBWAY,20727,902763,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
517,JAG,FFJDI,20728,299939,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
523,JAG,FFJDI,20729,299940,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
525,JAG,FFJDI,20730,299942,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
528,JAG,FFJDI,20731,299941,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
530,JAG,CDJAC,20740,902770,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
532,JAG,SBWAY,20742,902766,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
534,JAG,SBWAY,20743,902765,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
538,JAG,BCDRB,20739,911486,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
539,JAG,JCBOB,20741,907269,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
543,JAG,FFJDI,20744,299945,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
547,JAG,FFJDI,20745,299944,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
552,JAG,FFJDI,20746,299943,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
554,JAG,FFJDI,20747,299946,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
556,JAG,SBWRB,20762,911543,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
558,JAG,CDJAC,20760,902771,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
560,JAG,CDJAC,20761,902772,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
566,JAG,FFJDI,20763,299947,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
570,JAG,FFJDI,20764,299949,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
572,JAG,FFJDI,20765,299950,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
578,JAG,FFJDI,20766,299948,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
580,JAG,CDJAC,20784,902773,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
582,JAG,SBWNE,20785,902760,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
587,JAG,FFJDI,20788,299951,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
591,JAG,FFJDI,20786,299953,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
595,JAG,FFJDI,20787,299952,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
601,JAG,WALPE,20757,000002314151,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
609,JAG,WMART,20793,007350046734,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
619,JAG,CCONF,20797,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
623,JAG,CR053,20799,911810,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
625,JAG,CDJAC,20798,907449,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
631,JAG,CR056,20800,911803,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
634,JAG,JCBOB,20801,911487,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
636,JAG,SBWAY,20802,917418,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
638,JAG,SBWRB,20803,907400,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
639,JAG,FFJDI,20804,300092,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
643,JAG,FFJDI,20805,300091,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
644,JAG,FFJDI,20806,300093,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
650,JAG,FFJDI,20807,300090,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
657,JAG,WALPR,20818,000408900497,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
664,JAG,WALRS,20819,000408900464,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
666,JAG,CDJAC,20822,907451,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
672,JAG,CR056,20823,911804,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
676,JAG,CR056,20824,911805,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
678,JAG,SBWAY,20825,917423,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
680,JAG,SBWRB,20826,907401,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
682,JAG,FFJDI,20827,300096,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
688,JAG,FFJDI,20828,300094,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
693,JAG,FFJDI,20829,300095,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
695,JAG,FFJDI,20830,300097,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
696,JAG,CDGPA,20831,031454170903,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
700,JAG,CR053,20843,911810,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
704,JAG,JCBOB,20844,911805,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
706,JAG,SBWAY,20847,907402,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
708,JAG,SBWAY,20848,907403,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
710,JAG,SBWNE,20849,907399,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
712,JAG,CDJAC,20842,907452,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
717,JAG,FFJDI,20850,300098,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
723,JAG,CCONF,20841,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
725,JAG,FFJDI,20851,300100,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
730,JAG,FFJDI,20852,300099,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
733,JAG,JDITA,20845,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
741,JAG,JDSTP,20846,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
743,JAG,FFJDI,20853,300101,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
745,JAG,CDJAC,20868,917427,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
747,JAG,SBWAY,20874,907404,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
749,JAG,SBWAY,20875,907405,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
751,JAG,SBWNE,20876,912152,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
755,JAG,CR053,20869,915943,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
760,JAG,CR054,20870,917576,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
765,JAG,JCBOB,20871,911806,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
769,JAG,JCBOB,20872,915942,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
771,JAG,FFJDI,20877,300105,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
774,JAG,FFJDI,20878,300103,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
777,JAG,FFJDI,20879,300102,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
779,JAG,FFJDI,20880,300104,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
785,JAG,PREZUNIC,20873,4506213043,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
787,JAG,CDJAC,20891,907455,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
789,JAG,SBWAY,20895,917425,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
791,JAG,SBWNE,20896,912144,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
792,JAG,JCBOB,20893,917565,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
793,JAG,CR056,20892,917568,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
795,JAG,FFJDI,20897,300109,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
797,JAG,FFJDI,20898,300108,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
801,JAG,FFJDI,20899,300107,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
805,JAG,JDSTP,20894,Ord. compra,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
810,JAG,FFJDI,20900,300106,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
812,JAG,CDJAC,20915,912151,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
814,JAG,SBWNE,20920,907398,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
816,JAG,CDJAC,20914,907454,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
817,JAG,JCBOB,20918,917586,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
818,JAG,JCBOB,20919,917588,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
824,JAG,FFJDI,20916,300110,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
825,JAG,JCBOB,20917,917566,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-10-30 16:04:30
829,JAG,FFJDI,20921,300111,,,BRAPELCO,,,,,Test database,N,0,0,0,,1,,,2016-11-07 21:59:58
